listing_id,price,nbhood_full,State
3531190,273,Manhattan, Lower East Side
3531345,70,Manhattan, Harlem
3533180,399,Brooklyn, Bedford-Stuyvesant
3533604,96,Brooklyn, Bushwick
3533669,110,Manhattan, West Village
3533777,69,Manhattan, Harlem
3534137,85,Brooklyn, Prospect-Lefferts Gardens
3534443,150,Manhattan, Lower East Side
3540370,130,Manhattan, East Village
3543227,95,Manhattan, Harlem
3544828,56,Brooklyn, Bedford-Stuyvesant
3549478,113,Brooklyn, Bedford-Stuyvesant
3549798,200,Brooklyn, Williamsburg
3552043,500,Brooklyn, Clinton Hill
3553361,200,Brooklyn, Williamsburg
3553768,200,Manhattan, West Village
3554230,140,Brooklyn, Prospect-Lefferts Gardens
3554285,45,Brooklyn, Crown Heights
3556615,200,Manhattan, Hell's Kitchen
3562245,365,Manhattan, East Village
3563271,99,Brooklyn, Clinton Hill
3567258,220,Manhattan, Gramercy
3575918,45,Brooklyn, Prospect-Lefferts Gardens
3576160,100,Manhattan, East Harlem
3580577,100,Brooklyn, Sunset Park
3581153,230,Manhattan, Chelsea
3582816,120,Brooklyn, Bedford-Stuyvesant
3583702,122,Brooklyn, Bushwick
3585452,140,Manhattan, Harlem
3586141,38,Brooklyn, Windsor Terrace
3587219,200,Manhattan, West Village
3591107,50,Brooklyn, Prospect-Lefferts Gardens
3595554,108,Queens, St. Albans
3595574,129,Brooklyn, Prospect Heights
3600108,275,Brooklyn, Fort Greene
3600496,148,Manhattan, Midtown
3601324,130,Brooklyn, Crown Heights
3601743,180,Brooklyn, Park Slope
3602534,145,Manhattan, Washington Heights
3605524,120,Manhattan, Kips Bay
3605896,59,Manhattan, Washington Heights
3608353,91,Brooklyn, Flatbush
3609762,184,Queens, Bay Terrace
3611813,150,Manhattan, Gramercy
3613839,65,Manhattan, Harlem
3614113,65,Manhattan, East Village
3616003,80,Brooklyn, Flatbush
3617498,80,Brooklyn, Prospect-Lefferts Gardens
3623201,94,Brooklyn, Park Slope
3623946,192,Brooklyn, South Slope
3624205,50,Manhattan, East Harlem
3624387,120,Queens, Long Island City
3625117,50,Brooklyn, Bushwick
3625870,85,Brooklyn, Sunset Park
3626302,59,Queens, Ridgewood
3626609,104,Manhattan, Lower East Side
3627106,199,Manhattan, Hell's Kitchen
